sector,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,recommendationKey,grossProfits,freeCashflow,currentPrice,currentRatio,returnOnAssets,debtToEquity,returnOnEquity,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,enterpriseToRevenue,enterpriseToEbitda,fiftyTwoWeekChange,sharesOutstanding,bookValue,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,floatShares,beta,enterpriseValue,priceHint,priceToSalesTrailing12Months,forwardPE,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,regularMarketDayHigh,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,openPrice,averageVolume10days,regularMarketDayLow,currency,regularMarketVolume,marketCap,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,tradeable,bidSize,dayHigh,regularMarketPrice,logoUrl,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
Basic Materials,"BHP Group Limited operates as a resources company in Australia, Europe, China, Japan, India, South Korea, the rest of Asia, North America, South America, and internationally. The company operates through Copper, Iron Ore, and Coal segments. It engages in the mining of copper, silver, zinc, molybdenum, uranium, gold, iron ore, and metallurgical and energy coal. The company is also involved in mining, smelting, and refining of nickel; and potash development activities. In addition, it provides towing, freight, marketing and trading, marketing support, finance, administrative, and other services. The company was founded in 1851 and is headquartered in Melbourne, Australia.",Melbourne,61 1300 55 47 57,VIC,Australia,https://www.bhp.com,1,171 Collins Street,Other Industrial Metals & Mining,0.57556,0.4724,0.85721,32174000128,0.046,0.50359,37647998976,buy,56071000000,20420874240,47.51,1.694,0.20175,37.428,0.42924,17539000320,18251999232,65410998272,3.465,USD,12.925,1.373,ASX,BHP GROUP FPO,BHP Group Limited,Australia/Sydney,AEDT,True,39600000,EQUITY,BHP.AX,finmb_256654,au_market,3.122,5.425,,2950249984,9.674,1656547200,0.31857002,20245000192,1.772,,4.911102,0.03144,1719705600,1656547200,4844599084,0.740265,204239798272,2,3.6769097,11.967254,46.05,47.11,42.63244,0.03387622,0.8702,47.78,6241278,46.05,44.3444,1.56,47.11,6241278,46.96,AUD,7609208,240510337024,9417765,46.96,47.54,0,7609208,53.72,35.83,47.51,False,0,47.78,47.51,https://logo.clearbit.com/bhp.com,,,,2c0e32cd-bee4-3b6f-88d1-ed55e72b230b
Basic Materials,"Bindi Metals Limited engages in the mining of copper-gold projects. It also explores for silver deposits. The company's projects include the Biloela project located to the southeast of Biloela; the Flanagan's project; and the Great Blackhall project. The company was incorporated in 2021 and is based in Perth, Australia.",Perth,61 8 9481 0389,WA,Australia,https://www.bindimetals.com.au,1,216 St Georges Terrace,Other Precious Metals & Mining,0.0,0.0,0.0,-287583,,0.0,,none,,,0.17,7.016,,,,,,,,AUD,,6.986,ASX,BINDIMETAL FPO,Bindi Metals Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BIM.AX,finmb_1671659267,au_market,,,,,,1656547200,0.0,-743638,,,,0.34771,1719705600,,28120324,,6270000,4,,,0.17,0.17,0.18788321,,0.0,0.17,25111,0.17,0.1895,,0.17,25111,0.17,AUD,1618,,119297,0.17,0.18,,1618,0.29,0.15,0.17,False,,0.17,0.17,https://logo.clearbit.com/bindimetals.com.au,,,,4694d321-7f87-3b7b-b9ea-1e871a212082
Healthcare,"Biome Australia Limited develops, commercializes, and markets various live biotherapeutics and complimentary medicines in Australia and internationally. It provides live biotherapeutic products under the Activated Probiotics brand; organic nutraceutical products under the Activated Nutrients brand; and sports performance and recovery products under the Activated X Performance brand. The company markets its products through community pharmacies and independent health practitioners. Biome Australia Limited was incorporated in 2018 and is based in Cremorne, Australia.",Cremorne,61 3 9017 5800,VIC,Australia,https://www.biomeaustralia.com,1,16 Dover Street,Biotechnology,-1.13532,-1.1014299,0.57907003,-3420938,0.647,-1.1556,-4680292,strong_buy,2387173,-2516849,0.07,5.658,-0.55388,7.158,-1.12041,5493394,467048,4122425,0.027,AUD,0.023,4.654,ASX,BIOME AUST FPO,Biome Australia Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BIO.AX,finmb_1685741541,au_market,2.903,-2.557,,199910000,0.005,1656547200,0.0,-4540580,-0.018,,14.0,0.57877,1719705600,1656547200,110034383,,11965992,4,3.3945312,,0.07,0.07,0.0821375,,0.0,0.07,8375,0.07,0.07761,,0.07,8375,0.07,AUD,14289,13993700,43363,0.07,0.07,,14289,0.12,0.065,0.068,False,,0.07,0.07,https://logo.clearbit.com/biomeaustralia.com,,,,09190a3b-7757-3f6a-9678-3ef277b60074
Financial Services,"BIR Financial Limited, through its subsidiary, Pulse Markets Pty Ltd, operates as a financial services company in Australia. It offers equities and derivatives transacting, and capital raising services to retail, institutional, corporate, and private clients. The company was formerly known as Birrabong Corporation Limited and changed its name to BIR Financial Limited in June 2018. BIR Financial Limited was incorporated in 1996 and is based in Bondi Junction, Australia.",Bondi Junction,61 2 9299 2289,NSW,Australia,https://www.birfinancial.com.au,1,109 Oxford Street,Capital Markets,0.0,-1.08927,0.18952,-523631,-0.213,-0.52676,,none,541242,,0.038,0.042,-3.42865,,,69053,2498117,2855828,0.0,AUD,0.025,0.035,ASX,BIRFIN FPO,BIR Financial Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BIR.AX,finmb_27424148,au_market,3.646,,,101436000,-0.02,1656547200,0.0,-3110764,-0.02,,,0.94358003,1719705600,1656547200,43415860,-1.762516,10412255,4,1.3497199,,0.038,0.038,0.033715,,0.0,0.038,197727,0.038,0.03654,,0.038,197727,0.038,AUD,216476,3854568,235609,0.038,0.039,0,216476,0.059,0.016,0.038,False,0,0.038,0.038,https://logo.clearbit.com/birfinancial.com.au,,,,ea26e64c-2484-314b-b296-52ee9015d906
Basic Materials,"Bisalloy Steel Group Limited engages in the manufacture and sale of quenched and tempered, high-tensile, and abrasion resistant steel plates under the BISALLOY brand name. It offers wear, structural, and armor grade specialty steels. The company also provides protection steel products. It serves mining, construction, general fabrication, and pressure vessel defense industries. The company markets its products through distributors and agents, as well as directly to original equipment manufacturers in Australia and internationally. Further, it exports to Asia, the Middle East, Europe, North America, and South America. Bisalloy Steel Group Limited was founded in 1980 and is headquartered in Unanderra, Australia.",Unanderra,61 2 4272 0444,NSW,Australia,https://www.bisalloy.com.au,1,18 Resolution Drive,Steel,0.18091999,0.12722999,0.26372,4285000,0.086,0.16506,21317000,none,31073000,2103954,2.16,2.062,0.12736,17.363,0.27334,1834000,11162000,117827000,0.039,AUD,2.531,0.836,ASX,BISALLOY FPO,Bisalloy Steel Group Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BIS.AX,finmb_7687515,au_market,0.898,4.962,,46682700,0.855,1656547200,0.12322,14991000,0.166,,2.526316,0.47019002,1719705600,1656547200,25309222,0.536157,105779248,4,0.8557855,,2.18,2.18,1.944475,0.02293578,0.42720002,2.18,20481,2.18,2.1518,0.05,2.18,20481,2.16,AUD,10637,100834640,69214,2.16,2.16,0,10637,2.42,1.3,2.15,False,0,2.18,2.16,https://logo.clearbit.com/bisalloy.com.au,,,,4760a033-4f3f-3ba4-b49c-4b23b8aed29b
Healthcare,"Biotron Limited, a biotechnology company, engages in developing and commercializing small molecule products to treat various viral diseases in Australia. The company's lead antiviral drug is BIT225, which is in Phase II clinical trials for the treatment of SARS-CoV-2, HIV-1, and hepatitis C virus infections. Biotron Limited was incorporated in 1999 and is headquartered in Sydney, Australia.",Sydney,61 2 9300 3344,NSW,Australia,https://www.biotron.com.au,1,66 Hunter Street,Biotechnology,-1.77642,-1.7844299,1.0,-2436048,0.104,-1.7831799,-2768597,none,1558525,-1382666,0.028,2.348,-0.55737996,7.07,-1.12243,1741405,77239,1558525,0.002,AUD,0.002,2.32,ASX,BIOTRON FPO,Biotron Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BIT.AX,finmb_7658306,au_market,19.199,-10.808,,701932992,0.007,1656547200,0.0,-2781083,-0.006,,4.0,0.17708999,1719705600,1656547200,581628465,-1.093281,29922806,4,12.610721,,0.028,0.028,0.057499856,,0.0,0.028,584083,0.028,0.03081666,,0.028,584083,0.028,AUD,38762,19654124,1357282,0.028,0.029,0,38762,0.1075,0.026,0.028,False,0,0.028,0.028,https://logo.clearbit.com/biotron.com.au,,,,7e32847c-d5d2-3be0-a3c6-d467711435d6
Consumer Cyclical,"Booktopia Group Limited operates as an online book retailer in Australia. It also sells eBooks, audiobooks, magazines, games and puzzles, stationery, and gift cards. In addition, the company offers books that cover various subjects, such as animals and nature; art and entertainment; biographies and true stories; business and management; comedy and humor; computing and IT; cooking, food, and drink; crafts and handiwork; family and health; fashion and style guides; fitness and diet; gardening, green lifestyle, and self-sufficiency; history; house and home; languages and linguistics; mind, body, and sprit; politics and government; and psychology, religion, and belief, as well as science; self help and personal development; society and culture; sports and recreation; and transportation, travel, and holidays. Further, it provides books based on Australian stories, children's fiction, and education and academies. The company was founded in 2004 and is headquartered in Lidcombe, Australia.",Lidcombe,61 2 9045 4394,NSW,Australia,https://www.booktopia.com.au,1,Unit E1,Internet Retail,-0.01564,-0.06262,0.11376,10058000,-0.003,-0.04789,-3768000,hold,27409000,2148375,0.207,0.648,-0.08498,212.991,-0.67143995,8506000,30986000,240934000,0.062,AUD,1.759,0.238,ASX,BOOK FPO,Booktopia Group Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BKG.AX,finmb_593049986,au_market,0.213,-13.592,,137359008,0.211,1656547200,0.13931,-15087000,-0.138,,0.9810427,0.72130996,1719705600,1656547200,40106662,,51215580,4,0.118012875,2.07,0.2,0.21,0.322975,,0.0,0.21,12240,0.2,0.20805,,0.21,12240,0.207,AUD,2601,28433314,168745,0.207,0.21,,2601,1.37,0.17,0.205,False,,0.21,0.207,https://logo.clearbit.com/booktopia.com.au,,,,581676fb-6f64-3017-b215-e520d5a05708
Financial Services,"BKI Investment Company Limited is a publicly owned investment manager. The firm invests in the public equity markets. It invest in the stocks of companies operating across diversified sectors. It also invest in well managed, quality Australian companies. The firm primarily invests in dividend paying stocks of companies. It employs bottom up approach with a focus on merits of individual companies rather than market and economic trends to create its portfolio. The firm conducts in-house research to make its investments. BKI Investment Company Limited was formed on October 17, 2003 and is based in Sydney, Australia.",Sydney,61 2 7251 6242,NSW,Australia,https://bkilimited.com.au,1,1 Castlereagh Street,Asset Management,0.0,1.5901401,1.0,100166000,0.303,0.96626,,none,63390000,54452876,1.78,299.189,0.03024,,0.08601,72078000,0,63390000,0.097,AUD,0.086,298.974,ASX,BKI INVEST FPO,BKI Investment Company Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BKI.AX,finmb_11216869,au_market,18.556,,,740755968,1.468,1656547200,0.08861,100799000,0.052,,1.212534,0.06442,1719705600,1656547200,636435992,0.5905,1176287360,4,20.800531,,1.76,1.76,1.6977,0.02443182,0.4779,1.78,79857,1.76,1.7485,0.043,1.76,79857,1.76,AUD,122239,1318545664,213659,1.76,1.78,0,122239,1.795,1.565,1.77,False,0,1.78,1.78,https://logo.clearbit.com/bkilimited.com.au,,,,2af962b7-630f-3aca-892a-c30ccea32ad7
Consumer Defensive,"Blackmores Limited develops, sells, and markets natural health products for humans and animals in Australia, New Zealand, Asia, China, and India. The company offers vitamins, and herbal and mineral nutritional supplements. It also provides products for various conditions related to arthritis, joints, bones, and muscles; brain health; cold, flu, and immunity; digestive health; energy and exercise; everyday health; and eye health. In addition, the company offers products in the areas of fish and nutritional oils; heart and circulation; infant nutrition; kids health; men's health; multivitamins; nails, hair, and skin; pet health; probiotics; pregnancy and preconception; stress relief and sleep support; weight management; wellbeing management; and women's health. It provides its products through retail and online channels. The company was founded in 1930 and is headquartered in Sydney, Australia.",Sydney,61 2 9910 5000,NSW,Australia,https://www.blackmores.com.au,1,20 Jubilee Avenue,Packaged Foods,0.11201999,0.047030002,0.61952996,48243000,0.107,0.08693,72931000,hold,403354000,28121624,73.1,2.342,0.06206,6.177,0.0979,82193000,25244000,651060992,4.23,AUD,33.577,1.274,ASX,BLACKMORE. FPO,Blackmores Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BKL.AX,finmb_878534,au_market,1.897,16.935,,19384200,19.163,1656547200,0.3027,30622000,1.018,,3.8146427,0.18047,1719705600,1656547200,12298693,0.421908,1235089152,2,2.1764243,25.206896,73.2,72.3,70.92325,0.003961749,0.67010003,73.1,29221,73.2,71.0608,0.29,72.3,29221,71.49,AUD,27988,1416984960,26570,71.49,73.12,0,27988,93.17,62.23,73.0,False,0,73.1,73.1,https://logo.clearbit.com/blackmores.com.au,,,,2c8d4c84-ba00-3e91-b03c-c99f17ae0038
Basic Materials,"Black Rock Mining Limited engages in the exploration and development of graphite projects in Tanzania. It holds a 100% interest in the Mahenge graphite project covering an area of 324 square kilometres and located in Tanzania. The company was formerly known as Green Rock Energy Limited and changed its name to Black Rock Mining Limited in March 2015. Black Rock Mining Limited was incorporated in 2000 and is based in West Perth, Australia.",West Perth,61 8 6383 6200,WA,Australia,https://blackrockmining.com.au,1,1 Walker Avenue,Other Industrial Metals & Mining,0.0,0.0,0.0,-4134462,,0.0,-5768387,none,,-9805690,0.14,14.98,-0.08927,0.975,-0.13783,26093636,536704,,0.027,AUD,,14.85,ASX,BLACKROCK FPO,Black Rock Mining Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BKT.AX,finmb_10930206,au_market,,-26.066,,868646016,0.033,1656547200,0.013830001,-6076894,-0.004,,4.2424245,0.41685,1719705600,1656547200,602898418,2.201968,150360512,4,,,0.135,0.135,0.18035,,0.0,0.15,313272,0.135,0.15045,,0.135,313272,0.135,AUD,1361768,121610440,1305456,0.135,0.15,0,1361768,0.33,0.12,0.14,False,0,0.15,0.14,https://logo.clearbit.com/blackrockmining.com.au,,,,3145e863-1f88-3c15-8d8e-76b88ce4f30a
Basic Materials,"Brickworks Limited manufactures, sells, and distributes building products for the residential and commercial markets in Australia and North America. It operates through Building Products Australia, Building Products North America, Property, and Investments segments. The company's building products comprise clay bricks and pavers, cement, masonry blocks, retaining wall systems, concrete and terracotta roof tiles, timber battens, and terracotta façades systems. In addition, the company offers precast products consisting of walling, flooring, stairs, columns, beams, decking, noise barriers, retaining walls, and balcony related products. Further, the company specializes in selling properties, as well as invests in companies. Brickworks Limited was founded in 1930 and is headquartered in Horsley Park, Australia.",Horsley Park,61 2 9830 7800,NSW,Australia,https://www.brickworks.com.au,1,738 - 780 Wallgrove Road,Building Materials,0.08537,0.78158,0.32301,130486000,,0.044910002,93325000,buy,353103000,-52452260,22.92,1.923,0.0063899998,34.922,0.30306,106083000,1138470016,1093154048,0.701,AUD,7.204,0.809,ASX,BRICKWORKS FPO,Brickworks Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BKW.AX,finmb_878546,au_market,3.986,46.688,,151776000,15.78,1659225600,0.52903,869736000,2.072,,1.4524715,0.0581,1722384000,1659225600,78295283,0.728712,4357114368,2,3.182265,16.729927,22.54,22.64,21.25465,0.026619343,0.108500004,22.94,99059,22.54,21.8248,0.6,22.64,99059,22.51,AUD,89745,3478705920,186249,22.51,22.94,0,89745,24.87,17.0,22.88,False,0,22.94,22.92,https://logo.clearbit.com/brickworks.com.au,,,,9464cdc9-d9b8-38d6-8d0d-6fb1f3b28bb6
Energy,"Berkeley Energia Limited engages in the exploration and development of uranium properties in Spain. It primarily holds interest in the Salamanca project located in western Spain. The company was formerly known as Berkeley Energy Limited and changed its name to Berkeley Energia Limited in November 2015. Berkeley Energia Limited was incorporated in 1991 and is based in Perth, Australia.",Perth,61 8 9322 6322,TAS,Australia,https://www.berkeleyenergia.com,1,28 The Esplanade,Uranium,0.0,2032.4375,1.0,-5791000,0.391,-157.03125,-5012000,none,,-7265625,0.31,35.869,-0.0349,,1.75066,79943000,0,32000,0.179,AUD,0.0,35.869,ASX,BERKELEY FPO,Berkeley Energia Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BKY.AX,finmb_8069488,au_market,1123.88,-7.176,,258982000,0.013,1656547200,0.26478,65038000,-0.27,,23.846153,0.07131,1719705600,1656547200,388097246,3.339323,35964144,4,2508.8882,-15.5,0.285,0.295,0.3365125,,0.0,0.31,104230,0.285,0.2931,,0.295,104230,0.295,AUD,18568,80284424,173483,0.295,0.32,0,18568,0.64,0.205,0.31,False,0,0.31,0.31,https://logo.clearbit.com/berkeleyenergia.com,,,,a27ad54e-c0e7-3178-a583-08fe8e8d2588
Basic Materials,"Boral Limited manufactures and supplies building and construction materials in Australia. The company operates through Construction Materials and Property segments. It provides asphalt products, such as INNOVA system, UltraPatch, Durapave, and GATT Surfacing; bulk cement, slag, lime, dry mixes, specialty sands and gravels, and related products; and aggregates, crushed rock and roadbase, sand, recycled, specialty rocks, other quarry materials, and fill material. The company also offers transport and pacing services; and supplies concrete to industrial, commercial, and residential building projects. In addition, it is involved in property development and divestment activities. The company was incorporated in 1946 and is headquartered in North Ryde, Australia. Boral Limited is a subsidiary of Network Investment Holdings Pty Limited.",North Ryde,61 2 9220 6300,NSW,Australia,https://www.boral.com.au,1,Triniti 2,Building Materials,0.09972999,0.32498002,0.23833999,260800000,0.007,0.025980001,294800000,hold,704500000,2824825088,2.99,1.484,0.00799,83.452,-0.00545,1107100032,1583500032,2955899904,1.004,AUD,2.678,1.261,ASX,BORAL LTD FPO,Boral Limited,Australia/Sydney,AEDT,True,39600000,EQUITY,BLD.AX,finmb_392930,au_market,1.15,11.532,,1103090048,3.644,1656547200,0.1065,-17000000,-0.912,,0.8205269,0.70389,1719705600,1656547200,297414700,1.395806,3399584256,4,1.1158156,15.736842,2.95,2.95,2.9435,0.0,0.0,2.995,550482,2.95,2.9426,0.0,2.95,550482,2.94,AUD,452377,3298239232,1237860,2.94,2.99,0,452377,6.61,2.48,2.98,False,0,2.995,2.99,https://logo.clearbit.com/boral.com.au,,,,1c6e4255-7703-3570-bf35-02330e5f7e97
Technology,"BluGlass Limited, together with its subsidiaries, engages in the development of semiconductor manufacturing technology and devices for industrial, defense, display, and scientific markets in Australia and the United States. The company develops and commercializes remote plasma chemical vapor deposition, a patented low temperature technology for manufacturing higher performance gallium nitride laser diodes, as well as provides foundry services. BluGlass Limited was incorporated in 2005 and is based in Silverwater, Australia.",Silverwater,61 2 9334 2300,NSW,Australia,https://www.bluglass.com.au,1,74 Asquith Street,Semiconductor Equipment & Materials,0.0,0.0,0.0,-6223493,2.391,-15.03681,-7122392,none,-3030433,-6916130,0.025,4.615,-0.33416998,34.998,-0.90262,5351589,4626842,604749,0.004,AUD,0.001,4.551,ASX,BLUGLASS FPO,BluGlass Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BLG.AX,finmb_28921798,au_market,72.63,-6.167,,1005209984,0.013,1656547200,0.056560002,-9355554,-0.01,,1.9230769,0.10583,1719705600,1656547200,1082347893,1.414634,43922884,4,41.554844,2.5,0.025,0.025,0.0285975,,0.0,0.025,994713,0.025,0.02816,,0.025,994713,0.025,AUD,104365,25130250,1203426,0.025,0.026,0,104365,0.043,0.023,0.025,False,0,0.025,0.025,https://logo.clearbit.com/bluglass.com.au,,,,942e8e1a-93c2-3929-b0db-b8c091402d84
Energy,"Blue Energy Limited, an oil and gas exploration company, engages in the exploration, evaluation, and development of conventional and unconventional oil and gas resources primarily in Queensland and the Northern Territory in Australia. It holds 2P reserves of 71 PJ; 3P reserves of 298 PJ and 3,248 PJ; and 3P + 2C reserves. The company was founded in 2004 and is based in Brisbane, Australia.",Brisbane,61 7 3270 8800,QLD,Australia,https://www.blueenergy.com.au,1,26 Wharf Street,Oil & Gas E&P,0.0,0.0,1.0,-1623000,-0.643,-99.66667,-1443000,buy,15000,-2889375,0.054,3.492,-0.013789999,0.104,-0.02273,6855000,73000,15000,0.004,AUD,0.0,3.492,ASX,BLUEENERGY FPO,Blue Energy Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BLU.AX,finmb_4492850,au_market,6664.667,-69.279,,1528210048,0.047,1656547200,0.02174,-1495000,-0.001,,1.1489363,0.26689,1719705600,1656547200,1226380320,,99970000,4,5501.556,,0.053,0.053,0.0675875,,0.0,0.056,667380,0.053,0.0575,,0.053,667380,0.053,AUD,447391,82523344,1774298,0.053,0.054,,447391,0.11,0.048,0.053,False,,0.056,0.054,https://logo.clearbit.com/blueenergy.com.au,,,,eadf98af-31b2-334c-b430-68298d0fab17
Consumer Cyclical,"Beacon Lighting Group Limited retails lighting products in Australia and internationally. The company designs, develops, sources, imports, distributes, merchandises, promotes, and sells light fittings, ceiling fans, and light globes, as well as energy products. It provides pendant, track, bathroom, outdoor, garden, solar, security and sensor, deck, LED lighting products; and ceiling, down, spot & bar, strip & cabinet, and interior wall lights, as well as lamps. The company also offers ceiling, exhaust, portable indoor, outdoor, and mammoth fans; air purifiers; pendants and chandeliers; switches and dimmers, and cameras; power points, LED drivers and transformers, and smoke alarms; outdoor heaters; candles and accessories, flush mounts, decorative and cleaning products; and clearance products. It offers its products under the Lucci, LEDlux, Mayfair, and Fanaway brands. The company operates 117 stores and 2 franchised stores. It also offers its products online. Beacon Lighting Group Limited was founded in 1967 and is based in Mulgrave, Australia.",Mulgrave,61 3 8561 1555,VIC,Australia,https://www.beaconlightinggroup.com.au,1,5 Bastow Place,Specialty Retail,0.22541,0.13350001,0.6921,52409000,0.115,0.2084,68767000,hold,211142000,36488124,2.24,1.483,0.12973,107.37,0.33066002,28055000,144020992,305072992,0.126,AUD,1.366,0.412,ASX,BEACON LTG FPO,Beacon Lighting Group Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BLX.AX,finmb_260249793,au_market,1.738,7.71,,223320992,0.471,1656201600,0.060289998,40726000,0.143,,4.755839,0.036459997,1719360000,1656201600,92242907,1.473256,530227200,4,1.6397356,18.666668,2.22,2.24,2.153725,0.02972973,0.48790002,2.27,40082,2.22,2.0435,0.066,2.24,40082,2.22,AUD,1704,500239040,99679,2.22,2.24,0,1704,3.22,1.66,2.23,False,0,2.27,2.24,https://logo.clearbit.com/beaconlightinggroup.com.au,,,,bd8ffdcf-3da5-37b1-8fff-2ac316164be7
Energy,"Boart Longyear Group Ltd provides drilling services, drilling equipment, and performance tooling for mining and mineral drilling companies in North America, Latin America, the Asia Pacific, Europe, and Africa. The company operates through two segments, Global Drilling Services and Global Products. It offers diamond coring exploration, reverse circulation, large diameter rotary, mine dewatering, water supply, pump services, production, and sonic drilling services. The company also manufactures, markets, and services drill rigs, drill string products, rugged performance tooling, durable drilling consumables, and parts. In addition, it utilizes scanning technology and down-hole instrumentation tools to capture detailed geological data from drilled core and chip samples. Boart Longyear Group Ltd was founded in 1890 and is headquartered in West Valley City, Utah.",West Valley City,801 972 6430,UT,United States,https://www.boartlongyear.com,1,2455 South 3600 West,Oil & Gas Equipment & Services,0.11131,-0.00189,0.18423,-1218000,0.18,0.07614,111526000,none,173749000,-17260876,1.78,2.257,0.06543,73.845,,37954000,213786000,1001921024,0.128,USD,4.371,1.053,ASX,BOART CDI 1:1,Boart Longyear Group Ltd.,Australia/Sydney,AEDT,False,39600000,EQUITY,BLY.AX,finmb_23270929,au_market,0.87,7.815,,295920000,-5.309,1640908800,0.45453,-1897000,-1.454,,,0.0032300001,1703980800,1656547200,49045425,1.126658,871608000,4,0.5257277,-25.428572,1.78,1.78,2.260175,,0.0,1.78,171,1.78,2.0663,,1.78,171,1.78,AUD,129,526737600,462,1.78,2.0,0,129,2.99,1.72,1.78,False,0,1.78,1.78,https://logo.clearbit.com/boartlongyear.com,,,,7a09f83b-2a99-34d3-866b-7802ffbe1283
Basic Materials,"Blaze Minerals Limited, together with its subsidiaries, explores for and develops mineral properties. The company primarily explores for nickel, gold, and base metal deposits. It holds portfolio of projects located in Western Australia. The company was formerly known as Blaze International Limited and changed its name to Blaze Minerals Limited in July 2021. Blaze Minerals Limited was incorporated in 1996 and is based in Subiaco, Australia.",Subiaco,61 8 6489 1600,WA,Australia,https://www.blazelimited.com.au,1,330 Churchill Avenue,Other Industrial Metals & Mining,0.0,0.0,1.0,-921841,,-259.1952,-1045001,none,5871,-780737,0.011,26.071,-0.14487,,-0.24781,1782594,0,5871,0.005,AUD,0.0,26.071,ASX,BLAZE MIN FPO,Blaze Minerals Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BLZ.AX,finmb_4484600,au_market,697.928,-3.921,,345000000,0.021,1656547200,0.0,-1610090,-0.005,,0.52380955,0.51904,1719705600,1656547200,180494325,1.985879,4097538,4,646.3975,,0.011,0.011,0.021565,,0.0,0.011,14222,0.011,0.01226,,0.011,14222,0.011,AUD,19726,3795000,118326,0.011,0.014,0,19726,0.054,0.01,0.01,False,0,0.011,0.011,https://logo.clearbit.com/blazelimited.com.au,,,,6639db25-c389-3c9a-860c-ba4b599bc67c
Energy,"Black Mountain Energy Ltd, an energy and resources company, focuses on the exploration, development, and production of natural gas in Western Australia. Its key asset is the 100% working interest in petroleum exploration permit EP 371, known as Project Valhalla, which covers an area of 3,660 square kilometers area located in the Fitzroy Trough in the Canning Basin, Western Australia. The company was founded in 2007 and is based in Perth, Australia.",Perth,61 8 9200 1685,WA,Australia,https://www.blackmountainenergy.com,1,225 St Georges Terrace,Oil & Gas E&P,0.0,0.0,0.0,-1452000,,0.0,-1394400,none,,100700,0.033,18.108,-0.02463,0.398,-0.04918,8089000,191000,,0.032,AUD,,17.551,ASX,BLACKMOUNT FPO,Black Mountain Energy Ltd,Australia/Sydney,AEDT,False,39600000,EQUITY,BME.AX,finmb_1686825552,au_market,,-5.126,,,,1640908800,0.0,-1593600,,,,0.88653,1703980800,1656547200,26879550,,7147000,4,,,0.033,0.035,0.0811375,,,0.035,23940,0.033,0.04378,,0.035,23940,0.033,AUD,36276,,24642,0.033,0.039,,36276,0.16,0.033,0.033,False,,0.035,0.033,https://logo.clearbit.com/blackmountainenergy.com,,,,b876e981-dc45-30af-9c16-6eb355b7c009
Basic Materials,"BMG Resources Limited, a mineral exploration company, engages in the exploration and development of mineral resource projects in the Republic of Cyprus and Australia. The company primarily explores for copper, nickel, zinc, cobalt, gold, silver, and lithium deposits. It holds 100% interests in the Abercromby gold project located in the Wiluna Gold District, Western Australia; the Invincible project located in Central Pilbara Gold District; and the South Boddington project situated in south-east of Perth. The company also holds interest in the Treasure project located in the Troodos Mountains of the Republic of Cyprus. BMG Resources Limited is based in Perth, Australia.",Perth,61 8 9424 9390,WA,Australia,https://www.bmgl.com.au,1,225 St Georges Terrace,Other Industrial Metals & Mining,0.0,0.0,1.0,-879840,7.324,-8.06418,-1463764,none,,-3336681,0.016,7.294,-0.05327,,-0.07632,3069010,0,181647,0.008,AUD,0.001,7.279,ASX,BMG FPO,BMG Resources Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,BMG.AX,finmb_114151821,au_market,27.729,-3.441,,319992000,0.061,1656547200,0.0,-1287912,-0.019,,0.2622951,0.46231997,1719705600,1656547200,209215198,1.930252,5036815,4,28.185833,,0.015,0.016,0.03042,,0.0,0.016,49390,0.015,0.01772,,0.016,49390,0.016,AUD,7500,5119872,234921,0.016,0.016,0,7500,0.065,0.015,0.015,False,0,0.016,0.016,https://logo.clearbit.com/bmgl.com.au,,,,4a1690fe-c52c-32f0-ae94-fe8536f096d5
